567 >expected=12.960000, predicted=12.833582
568 >expected=12.430000, predicted=12.562634
569 >expected=12.660000, predicted=12.795313
570 >expected=12.920000, predicted=12.747479
571 >expected=12.730000, predicted=12.811972
572 >expected=13.110000, predicted=12.925738
573 >expected=12.840000, predicted=12.911072
574 >expected=13.020000, predicted=13.179407
575 >expected=13.170000, predicted=13.125437
576 >expected=12.920000, predicted=13.141842
577 >expected=12.920000, predicted=12.793221
578 >expected=13.220000, predicted=13.269374
579 >expected=13.250000, predicted=13.369065
580 >expected=13.300000, predicted=13.275941
581 >expected=13.530000, predicted=13.367915
582 >expected=13.540000, predicted=13.442780
583 >expected=13.450000, predicted=13.410236
584 >expected=13.230000, predicted=13.331675
585 >expected=13.290000, predicted=13.179569
586 >expected=13.540000, predicted=13.401680
587 >expected=13.930000, predicted=13.748295
588 >expected=13.850000, predicted=13.899808
589 >expected=14.430000, predicted=14.109062
590 >expected=14.830000, predicted=14.793236
591 >expected=14.670000, predicted=14.692988
592 >expected=14.740000, predicted=14.804781
593 >expected=14.550000, predicted=14.639132
594 >expected=14.170000, predicted=14.408438
595 >expected=14.490000, predicted=14.436143
596 >expected=14.510000, predicted=14.468246
597 >expected=14.660000, predicted=14.529747
598 >expected=14.580000, predicted=14.582779
599 >expected=14.550000, predicted=14.477576
600 >expected=14.170000, predicted=14.239671
601 >expected=14.130000, predicted=14.111835
602 >expected=13.720000, predicted=13.840724
603 >expected=13.970000, predicted=13.884229
604 >expected=14.280000, predicted=14.085496
605 >expected=14.060000, predicted=14.025989
606 >expected=13.920000, predicted=14.042542
607 >expected=13.950000, predicted=13.870896
608 >expected=14.100000, predicted=14.160215
609 >expected=14.130000, predicted=14.147532
610 >expected=13.980000, predicted=13.997931
611 >expected=13.730000, predicted=13.894136
612 >expected=13.850000, predicted=13.864155
613 >expected=13.790000, predicted=13.843865
614 >expected=13.480000, predicted=13.582351
615 >expected=13.730000, predicted=13.653082
616 >expected=13.630000, predicted=13.685299
617 >expected=13.430000, predicted=13.591503
618 >expected=13.220000, predicted=13.324611
619 >expected=13.210000, predicted=13.148088
620 >expected=13.000000, predicted=13.119795
621 >expected=13.090000, predicted=13.129294
622 >expected=13.290000, predicted=13.111487
623 >expected=13.170000, predicted=13.230967
624 >expected=13.070000, predicted=13.058245
625 >expected=13.210000, predicted=13.268469
626 >expected=13.430000, predicted=13.309998
627 >expected=13.160000, predicted=13.273892
628 >expected=13.240000, predicted=13.101344
629 >expected=12.860000, predicted=13.060726
630 >expected=12.690000, predicted=12.776773
631 >expected=12.730000, predicted=12.701484
632 >expected=12.690000, predicted=12.694983
633 >expected=12.940000, predicted=12.728627
634 >expected=12.810000, predicted=12.790970
635 >expected=12.650000, predicted=12.766634
636 >expected=12.450000, predicted=12.210878
637 >expected=12.480000, predicted=12.570254
638 >expected=12.750000, predicted=12.675384
639 >expected=12.580000, predicted=12.534385
640 >expected=12.830000, predicted=12.675740
641 >expected=12.420000, predicted=12.654612
642 >expected=12.300000, predicted=12.494701
643 >expected=12.190000, predicted=12.246923
644 >expected=12.250000, predicted=12.191827
645 >expected=12.320000, predicted=12.260839
646 >expected=12.460000, predicted=12.339944
647 >expected=12.580000, predicted=12.583262
648 >expected=12.820000, predicted=12.681759
649 >expected=12.760000, predicted=12.759912
650 >expected=12.510000, predicted=12.550021
651 >expected=12.330000, predicted=12.535019
652 >expected=12.360000, predicted=12.290899
653 >expected=12.310000, predicted=12.253679
654 >expected=12.750000, predicted=12.651204
655 >expected=12.400000, predicted=12.567876
656 >expected=12.000000, predicted=12.092505
657 >expected=11.900000, predicted=12.054701
658 >expected=11.900000, predicted=11.923985
659 >expected=12.020000, predicted=11.935602
660 >expected=11.990000, predicted=11.915888
661 >expected=11.770000, predicted=11.852342
662 >expected=11.730000, predicted=11.792073
663 >expected=11.700000, predicted=11.604486
664 >expected=11.960000, predicted=12.077682
665 >expected=12.000000, predicted=12.082700
666 >expected=12.130000, predicted=12.097629
667 >expected=12.390000, predicted=12.272579
668 >expected=11.960000, predicted=12.083421
669 >expected=11.980000, predicted=12.024861
670 >expected=11.710000, predicted=11.853564
671 >expected=11.480000, predicted=11.548579
672 >expected=11.330000, predicted=11.339090
673 >expected=11.240000, predicted=11.308541
674 >expected=11.140000, predicted=11.127563
675 >expected=11.180000, predicted=11.220766
676 >expected=11.270000, predicted=11.226799
677 >expected=11.090000, predicted=11.062907
678 >expected=10.940000, predicted=11.044126
679 >expected=10.830000, predicted=11.038412
680 >expected=11.220000, predicted=11.120453
681 >expected=11.140000, predicted=11.235309
682 >expected=10.790000, predicted=10.801277
683 >expected=11.060000, predicted=11.102481
684 >expected=11.390000, predicted=11.346913
685 >expected=11.510000, predicted=11.329493
686 >expected=11.580000, predicted=11.750608
687 >expected=11.670000, predicted=11.629255
688 >expected=11.210000, predicted=11.190799
689 >expected=10.940000, predicted=11.162084
690 >expected=11.230000, predicted=11.151709
